_step,_runtime,bootstrap_iter,_timestamp,before_ft_eval_acc,ft_loss,ft_acc,ft_eval_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
83,66.55074071884155,0.0,1741007938.5330977,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
84,66.56802487373352,0.0,1741007938.550382,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
85,66.59088230133057,0.0,1741007938.5732393,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
86,66.6219630241394,0.0,1741007938.60432,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
87,66.64968800544739,0.0,1741007938.632045,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
88,66.67701172828674,0.0,1741007938.6593688,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
89,66.71145486831665,0.0,1741007938.693812,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
90,66.73860001564026,0.0,1741007938.720957,,4.470348091700771e-09,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
91,66.75969576835632,0.0,1741007938.7420528,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
92,66.79741477966309,0.0,1741007938.7797718,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
93,66.81525373458862,0.0,1741007938.7976108,,0.0,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Egyptian,False,1,4000,5,exp1_permuted_src_datasets
